State,Religious Exemption,Philosophical Exemption
 Alabama, Yes, No
 Alaska, Yes, No
 Arizona, Yes, Yes
 Arkansas, Yes, Yes
 California, No, No
 Colorado, Yes, Yes 
 Connecticut, Yes, No
 Delaware, Yes, No 
" Washington, DC", Yes, No
 Florida, Yes, No
 Georgia, Yes, No
 Hawaii, Yes, No
 Idaho, Yes, Yes
 Illinois, Yes, No
 Indiana, Yes, No
 Iowa, Yes, No
 Kansas, Yes, No
 Kentucky, Yes, No
 Louisiana, Yes, Yes
 Maine, Yes, Yes
 Maryland, Yes, No 
 Massachusetts, Yes, No 
 Michigan, Yes, Yes
 Minnesota, Yes, Yes
 Mississippi, No , No 
 Missouri, Yes, Yes*
 Montana, Yes, No
 Nebraska, Yes , No
 Nevada, Yes , No 
 New Hampshire, Yes , No 
 New Jersey, Yes , No 
 New Mexico, Yes , No
 New York, Yes , No 
 North Carolina, Yes , No 
 North Dakota, Yes , Yes
 Ohio, Yes , Yes
 Oklahoma, Yes , Yes
 Oregon, Yes , Yes
 Pennsylvania, Yes , Yes
 Rhode Island, Yes , No 
 South Carolina, Yes , No 
 South Dakota, Yes , No 
 Tennessee, Yes, No
 Texas, Yes, Yes
 Utah, Yes, Yes
 Vermont, Yes, No
 Virginia, Yes, No
 Washington, Yes , Yes
 West Virginia, No, No
 Wisconsin, Yes , Yes
 Wyoming, Yes, No
